lang,page_title,url,wiki_link
de,Diskussion:Schwedisches Forschungsinstitut der Verteidigung,https://www.regeringen.se/4a3eb3/contentassets/e27ee47ea294461bbb0f39b68d31c540/utrikes_namnbok_10.e_reviderade_upplagan.pdf,https://de.wikipedia.org/wiki/Diskussion:Schwedisches_Forschungsinstitut_der_Verteidigung
de,Schwedisches Forschungsinstitut der Verteidigung,https://www.regeringen.se/4a3eb3/contentassets/e27ee47ea294461bbb0f39b68d31c540/utrikes_namnbok_10.e_reviderade_upplagan.pdf,https://de.wikipedia.org/wiki/Schwedisches_Forschungsinstitut_der_Verteidigung
de,Nordisches Afrika-Institut,https://www.regeringen.se/4a3eb3/contentassets/e27ee47ea294461bbb0f39b68d31c540/utrikes_namnbok_10.e_reviderade_upplagan.pdf,https://de.wikipedia.org/wiki/Nordisches_Afrika-Institut
de,Schwedische Behörde für Strahlensicherheit,https://www.regeringen.se/4a3eb3/contentassets/e27ee47ea294461bbb0f39b68d31c540/utrikes_namnbok_10.e_reviderade_upplagan.pdf,https://de.wikipedia.org/wiki/Schwedische_Behörde_für_Strahlensicherheit
de,Diskussion:Bertil Dillner,https://www.regeringen.se/artiklar/2015/08/utrikes-namnbok--nu-annu-nyare/,https://de.wikipedia.org/wiki/Diskussion:Bertil_Dillner
de,Diskussion:Hermann Behrbohm,https://www.regeringen.se/artiklar/2015/08/utrikes-namnbok--nu-annu-nyare/,https://de.wikipedia.org/wiki/Diskussion:Hermann_Behrbohm
de,Diskussion:Schwedische Luftstreitkräfte/Archiv/1,https://www.regeringen.se/artiklar/2015/08/utrikes-namnbok--nu-annu-nyare/,https://de.wikipedia.org/wiki/Diskussion:Schwedische_Luftstreitkräfte/Archiv/1
de,COVID-19-Pandemie in Schweden,https://www.regeringen.se/pressmeddelanden/2020/10/forandringar-i-forordningen-om-forbud-mot-att-halla-allmanna-sammankomster-och-offentliga-tillstallningar/,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Schweden
de,COVID-19-Pandemie in Schweden,https://www.regeringen.se/pressmeddelanden/2020/11/forslag-om-forbud-mot-att-halla-allmanna-sammankomster-och-offentliga-tillstallningar-med-fler-an-atta-deltagare/,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Schweden
de,Anna Johansson (Politikerin),https://www.regeringen.se/49bbc0/contentassets/ea30175b603349a498c8ec7f73ebd1be/cv---anna-johansson,https://de.wikipedia.org/wiki/Anna_Johansson_(Politikerin)
de,Peter Hultqvist,https://www.regeringen.se/contentassets/ced4dbb2932a4fe3824c549ae626f62e/cv---peter-hultqvist,https://de.wikipedia.org/wiki/Peter_Hultqvist
de,Regierung Löfven I,https://www.regeringen.se/,https://de.wikipedia.org/wiki/Regierung_Löfven_I
de,Finansdepartementet (Schweden),https://www.regeringen.se/sveriges-regering/finansdepartementet/organisation/,https://de.wikipedia.org/wiki/Finansdepartementet_(Schweden)
de,Finansdepartementet (Schweden),https://www.regeringen.se/regeringskansliet/regeringskansliets-anstallda/,https://de.wikipedia.org/wiki/Finansdepartementet_(Schweden)
de,Finansdepartementet (Schweden),https://www.regeringen.se/4a29e1/globalassets/regeringen/dokument/finansdepartementet/organisation/fi-dep-organisation/organisationsschema,https://de.wikipedia.org/wiki/Finansdepartementet_(Schweden)
de,Bildungssystem in Schweden,https://www.regeringen.se/,https://de.wikipedia.org/wiki/Bildungssystem_in_Schweden
