lang,page_title,url,wiki_link,status,reason,final_url,ia_url,ia_status
sv,Diskussion:Christina Lugnet,http://regeringen.se/sb/d/11113/a/116424,https://sv.wikipedia.org/wiki/Diskussion:Christina_Lugnet,dead,HTTP 404,https://regeringen.se/sb/d/11113/a/116424,http://web.archive.org/web/20100825163535/http://regeringen.se/sb/d/11113/a/116424,available
sv,Gambia,http://www.regeringen.se/4a3eb3/contentassets/e27ee47ea294461bbb0f39b68d31c540/utrikes_namnbok_10.e_reviderade_upplagan.pdf,https://sv.wikipedia.org/wiki/Gambia,dead,HTTP 404,https://www.regeringen.se/4a3eb3/contentassets/e27ee47ea294461bbb0f39b68d31c540/utrikes_namnbok_10.e_reviderade_upplagan.pdf,http://web.archive.org/web/20210506222008/https://www.regeringen.se/4a3eb3/contentassets/e27ee47ea294461bbb0f39b68d31c540/utrikes_namnbok_10.e_reviderade_upplagan.pdf,available
sv,Diskussion:Cristina Grenholm,http://www.regeringen.se/sb/d/18310/a/232821,https://sv.wikipedia.org/wiki/Diskussion:Cristina_Grenholm,dead,HTTP 404,https://www.regeringen.se/sb/d/18310/a/232821,http://web.archive.org/web/20150216150308/http://www.regeringen.se/sb/d/18310/a/232821,available
sv,Konstnärlig forskning,http://www.regeringen.se/49b72d/contentassets/da7f51c955624170bcb19ae5733c75a2/konst-forskning-makt---en-bok-om-konstnaren-som-forskare,https://sv.wikipedia.org/wiki/Konstnärlig_forskning,dead,HTTP 404,https://www.regeringen.se/49b72d/contentassets/da7f51c955624170bcb19ae5733c75a2/konst-forskning-makt---en-bok-om-konstnaren-som-forskare,http://web.archive.org/web/20220710044323/https://www.regeringen.se/49b72d/contentassets/da7f51c955624170bcb19ae5733c75a2/konst-forskning-makt---en-bok-om-konstnaren-som-forskare,available
sv,Diskussion:Debatten om Förbifart Stockholm,http://www.regeringen.se/sb/d/12156,https://sv.wikipedia.org/wiki/Diskussion:Debatten_om_Förbifart_Stockholm,dead,HTTP 404,https://www.regeringen.se/sb/d/12156,http://web.archive.org/web/20150216114209/http://www.regeringen.se/sb/d/12156,available
sv,Diskussion:Digital Audio Broadcasting,http://www.regeringen.se/content/1/c4/34/61/21bc0d56.pdf,https://sv.wikipedia.org/wiki/Diskussion:Digital_Audio_Broadcasting,dead,HTTP 404,https://www.regeringen.se/content/1/c4/34/61/21bc0d56.pdf,,missing
sv,Diskussion:Digital Audio Broadcasting,http://www.regeringen.se/content/1/c6/22/10/11/5723f203.pdf,https://sv.wikipedia.org/wiki/Diskussion:Digital_Audio_Broadcasting,dead,HTTP 404,https://www.regeringen.se/content/1/c6/22/10/11/5723f203.pdf,http://web.archive.org/web/20141204091614/http://www.regeringen.se/content/1/c6/22/10/11/5723f203.pdf,available
sv,Diskussion:Digital Audio Broadcasting,http://www.regeringen.se/content/1/c6/25/33/67/a07312f9.pdf,https://sv.wikipedia.org/wiki/Diskussion:Digital_Audio_Broadcasting,dead,HTTP 404,https://www.regeringen.se/content/1/c6/25/33/67/a07312f9.pdf,http://web.archive.org/web/20150402093630/http://www.regeringen.se/content/1/c6/25/33/67/a07312f9.pdf,available
sv,Diskussion:Digital Audio Broadcasting,http://www.regeringen.se/content/1/c6/25/33/68/e39b9aa2.pdf,https://sv.wikipedia.org/wiki/Diskussion:Digital_Audio_Broadcasting,dead,HTTP 404,https://www.regeringen.se/content/1/c6/25/33/68/e39b9aa2.pdf,http://web.archive.org/web/20150402130258/http://www.regeringen.se/content/1/c6/25/33/68/e39b9aa2.pdf,available
sv,Diskussion:Digital Audio Broadcasting,http://www.regeringen.se/content/1/c6/25/33/68/ed7c2944.pdf,https://sv.wikipedia.org/wiki/Diskussion:Digital_Audio_Broadcasting,dead,HTTP 404,https://www.regeringen.se/content/1/c6/25/33/68/ed7c2944.pdf,,missing
sv,Diskussion:Digital Audio Broadcasting,http://www.regeringen.se/content/1/c6/25/33/70/9b18dfe3.pdf,https://sv.wikipedia.org/wiki/Diskussion:Digital_Audio_Broadcasting,dead,HTTP 404,https://www.regeringen.se/content/1/c6/25/33/70/9b18dfe3.pdf,,missing
sv,Diskussion:Digital Audio Broadcasting,http://www.regeringen.se/sb/d/19848,https://sv.wikipedia.org/wiki/Diskussion:Digital_Audio_Broadcasting,dead,HTTP 404,https://www.regeringen.se/sb/d/19848,http://web.archive.org/web/20150402175612/http://www.regeringen.se/sb/d/19848,available
sv,Diskussion:Diskrimineringsombudsmannen,http://www.regeringen.se/sb/d/14747/a/171561,https://sv.wikipedia.org/wiki/Diskussion:Diskrimineringsombudsmannen,dead,HTTP 404,https://www.regeringen.se/sb/d/14747/a/171561,http://web.archive.org/web/20131212004132/http://www.regeringen.se/sb/d/14747/a/171561,available
sv,Diskussion:Dubbelt medborgarskap,http://www.regeringen.se/content/1/c6/05/65/95/534b53fe.pdf,https://sv.wikipedia.org/wiki/Diskussion:Dubbelt_medborgarskap,dead,HTTP 404,https://www.regeringen.se/content/1/c6/05/65/95/534b53fe.pdf,http://web.archive.org/web/20060926033632/http://www.regeringen.se/content/1/c6/05/65/95/534b53fe.pdf,available
sv,Diskussion:E-förvaltning,http://www.regeringen.se/content/1/c6/09/65/12/4ffd1319.pdf,https://sv.wikipedia.org/wiki/Diskussion:E-förvaltning,dead,HTTP 404,https://www.regeringen.se/content/1/c6/09/65/12/4ffd1319.pdf,http://web.archive.org/web/20140203074659/http://www.regeringen.se/content/1/c6/09/65/12/4ffd1319.pdf,available
sv,Diskussion:EU-blomman,http://www.regeringen.se/sb/d/2813,https://sv.wikipedia.org/wiki/Diskussion:EU-blomman,dead,HTTP 404,https://www.regeringen.se/sb/d/2813,http://web.archive.org/web/20120629094609/http://www.regeringen.se:80/sb/d/2813,available
sv,Resning,http://www.regeringen.se/rattsdokument/statens-offentliga-utredningar/2015/06/sou-2015-52/,https://sv.wikipedia.org/wiki/Resning,ok,,https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2015/06/sou-2015-52/,http://web.archive.org/web/20170312045445/http://www.regeringen.se/rattsdokument/statens-offentliga-utredningar/2015/06/sou-2015-52//,available
