lang,page_title,url,wiki_link,status,reason,ia_url,ia_status
no,Jungfrun,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2000121/G%C3%A4llande,https://no.wikipedia.org/wiki/Jungfrun,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2000121/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x126a7d850>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Vändåtberget,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2000488/G%C3%A4llande,https://no.wikipedia.org/wiki/Vändåtberget,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2000488/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146918f80>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Sarek,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001221/G%C3%A4llande,https://no.wikipedia.org/wiki/Sarek,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001221/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146ccf380>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Stora Sjöfallets nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001219/G%C3%A4llande,https://no.wikipedia.org/wiki/Stora_Sjöfallets_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001219/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x126aa8e90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Padjelanta nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001220/G%C3%A4llande,https://no.wikipedia.org/wiki/Padjelanta_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001220/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x131732030>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Muddus,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001223/G%C3%A4llande,https://no.wikipedia.org/wiki/Muddus,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001223/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cfaab0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Abisko nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001225/G%C3%A4llande,https://no.wikipedia.org/wiki/Abisko_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001225/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1317306b0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Tivedens nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001216/G%C3%A4llande,https://no.wikipedia.org/wiki/Tivedens_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001216/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x131732cc0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Vadvetjåkka nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001224/G%C3%A4llande,https://no.wikipedia.org/wiki/Vadvetjåkka_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001224/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cfade0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Fulufjällets nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2002424/G%C3%A4llande,https://no.wikipedia.org/wiki/Fulufjällets_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2002424/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x13138aae0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
