lang,page_title,url,wiki_link,status,reason,final_url,ia_url,ia_status
sv,Marie Olsson,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/Marie-Olsson_f1f00905-525e-43fb-bbd2-e15aa3ff1be1/,https://sv.wikipedia.org/wiki/Marie_Olsson,,,,,
sv,Marie Olsson,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-20161787-tisdagen-den-28-mars_H40987,https://sv.wikipedia.org/wiki/Marie_Olsson,,,,,
sv,Riddarorden,https://data.riksdagen.se/fil/08EC9449-923A-4E20-9AAB-893BDB8A90C3,https://sv.wikipedia.org/wiki/Riddarorden,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/Marie-Louise-Ronnmark_7ef99f19-4d1a-11d6-ae8d-0040ca16a6a7/,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/riksdagens-snabbprotokoll-20010258-fredagen-den_GP0958,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/riksdagens-snabbprotokoll-20010275-mandagen-den_GP0975,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/riksdagens-snabbprotokoll-20010289-onsdagen-den_GP0989,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-20161712-tisdagen-den-11-oktober_H40912,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-20161789-torsdagen-den-30-mars_H40989,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-2017183-onsdagen-den-13-september_H5093,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-20171817-fredagen-den-13-oktober_H50917,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-20171822-tisdagen-den-24-oktober_H50922,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Marie-Louise Rönnmark,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-20171894-tisdagen-den-10-april_H50994,https://sv.wikipedia.org/wiki/Marie-Louise_Rönnmark,,,,,
sv,Flygvapnets Södertörnsskolor,https://www.riksdagen.se/sv/dokument-lagar/dokument/proposition/om-sakerhets--och-forsvarspolitiken-samt_G503102,https://sv.wikipedia.org/wiki/Flygvapnets_Södertörnsskolor,,,,,
sv,Stockholm-Tullinge flygplats,https://www.riksdagen.se/sv/dokument-lagar/dokument/proposition/kungl-majts-proposition-nr-109-ar-1968_ET30109,https://sv.wikipedia.org/wiki/Stockholm-Tullinge_flygplats,,,,,
sv,Stockholm-Tullinge flygplats,https://www.riksdagen.se/sv/dokument-lagar/dokument/proposition/kungl-majts-proposition-nr-96-ar-1970_FT3096,https://sv.wikipedia.org/wiki/Stockholm-Tullinge_flygplats,,,,,
sv,Stockholm-Tullinge flygplats,https://www.riksdagen.se/sv/dokument-lagar/dokument/proposition/om-sakerhets--och-forsvarspolitiken-samt_G503102,https://sv.wikipedia.org/wiki/Stockholm-Tullinge_flygplats,,,,,
sv,Lars Tobisson,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/riksdagens-protokoll-1982831_G6091,https://sv.wikipedia.org/wiki/Lars_Tobisson,,,,,
sv,Lars Tobisson,http://data.riksdagen.se/dokument/GP0932,https://sv.wikipedia.org/wiki/Lars_Tobisson,,,,,
sv,Lars Tobisson,http://data.riksdagen.se/dokumentstatus/GP0932,https://sv.wikipedia.org/wiki/Lars_Tobisson,,,,,
sv,Användardiskussion:Edaen/Arkiv/2021,https://www.riksdagen.se/sv/dokument-lagar/dokument/proposition/statsverksproposition_DW301b1/html,https://sv.wikipedia.org/wiki/Användardiskussion:Edaen/Arkiv/2021,,,,,
sv,Jamal El-Haj,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/Jamal-El-Haj_6a1b02dd-bdc4-4019-ab3e-dfeb133018ed/,https://sv.wikipedia.org/wiki/Jamal_El-Haj,,,,,
sv,Leif Hård,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/Leif-Hard_cc5084a8-de72-4880-a9f4-f14ed4699312/,https://sv.wikipedia.org/wiki/Leif_Hård,,,,,
sv,Leif Hård,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-201718116-tisdagen-den-22-maj_H509116,https://sv.wikipedia.org/wiki/Leif_Hård,,,,,
sv,Faradj Koliev,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/Faradj-Koliev_997ffdd9-964a-48e4-8dd3-202b36a5cd86/,https://sv.wikipedia.org/wiki/Faradj_Koliev,,,,,
sv,Faradj Koliev,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-20161736-tisdagen-den-29-november_H40936,https://sv.wikipedia.org/wiki/Faradj_Koliev,,,,,
sv,Faradj Koliev,https://www.riksdagen.se/sv/dokument-lagar/dokument/protokoll/protokoll-201617132-tisdagen-den-27-juni_H409132,https://sv.wikipedia.org/wiki/Faradj_Koliev,,,,,
sv,Amne Ali,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_012481285121,https://sv.wikipedia.org/wiki/Amne_Ali,,,,,
sv,Petra Ekerum,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_0759167494321,https://sv.wikipedia.org/wiki/Petra_Ekerum,,,,,
sv,Jamal El-Haj,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/_0121939297619,https://sv.wikipedia.org/wiki/Jamal_El-Haj,,,,,
