url,status
https://kommunsiffror.scb.se/?id1=1637,ERROR
https://kommunsiffror.scb.se/?id1=1082,ERROR
https://kommunsiffror.scb.se/?id1=1780,ERROR
https://kommunsiffror.scb.se/?id1=1284,ERROR
https://kommunsiffror.scb.se/?id1=1860,ERROR
https://kommunsiffror.scb.se/?id1=1001,ERROR
https://kommunsiffror.scb.se/?id1=1266,ERROR
https://kommunsiffror.scb.se/?id1=0483,ERROR
https://kommunsiffror.scb.se/?id1=1080,ERROR
https://kommunsiffror.scb.se/?id1=0513,ERROR
https://kommunsiffror.scb.se/?id1=1166,ERROR
https://kommunsiffror.scb.se/?id1=1276,ERROR
https://kommunsiffror.scb.se/?id1=1290,ERROR
https://kommunsiffror.scb.se/?id1=1983,ERROR
https://kommunsiffror.scb.se/?id1=2282,200
https://kommunsiffror.scb.se/?id1=1261,ERROR
https://kommunsiffror.scb.se/?id1=1262,ERROR
https://kommunsiffror.scb.se/?id1=2085,ERROR
https://kommunsiffror.scb.se/?id1=1864,ERROR
https://kommunsiffror.scb.se/?id1=1441,200
https://kommunsiffror.scb.se/?id1=1681,200
https://kommunsiffror.scb.se/?id1=1494,200
https://kommunsiffror.scb.se/?id1=0761,200
https://kommunsiffror.scb.se/?id1=1814,200
https://kommunsiffror.scb.se/?id1=0680,200
https://kommunsiffror.scb.se/?id1=2584,200
https://kommunsiffror.scb.se/?id1=1885,200
https://kommunsiffror.scb.se/?id1=2029,ERROR
https://kommunsiffror.scb.se/?id1=1493,ERROR
https://kommunsiffror.scb.se/?id1=1562,200
https://kommunsiffror.scb.se/?id1=1524,ERROR
https://kommunsiffror.scb.se/?id1=0186,ERROR
https://kommunsiffror.scb.se/?id1=0781,ERROR
https://kommunsiffror.scb.se/?id1=2161,ERROR
https://kommunsiffror.scb.se/?id1=1280,200
https://kommunsiffror.scb.se/?id1=2481,ERROR
https://kommunsiffror.scb.se/?id1=1484,ERROR
https://kommunsiffror.scb.se/?id1=1680,ERROR
https://kommunsiffror.scb.se/?id1=1462,ERROR
https://kommunsiffror.scb.se/?id1=2023,ERROR
https://kommunsiffror.scb.se/?id1=1561,ERROR
https://kommunsiffror.scb.se/?id1=0586,ERROR
https://kommunsiffror.scb.se/?id1=0583,ERROR
https://kommunsiffror.scb.se/?id1=0580,ERROR
https://kommunsiffror.scb.se/?id1=0861,ERROR
https://kommunsiffror.scb.se/?id1=1281,ERROR
https://kommunsiffror.scb.se/?id1=0840,ERROR
https://kommunsiffror.scb.se/?id1=1430,ERROR
https://kommunsiffror.scb.se/?id1=1762,ERROR
https://kommunsiffror.scb.se/?id1=1463,ERROR
https://kommunsiffror.scb.se/?id1=2206,ERROR
https://kommunsiffror.scb.se/?id1=1563,ERROR
https://kommunsiffror.scb.se/?id1=1461,200
https://kommunsiffror.scb.se/?id1=0192,200
https://kommunsiffror.scb.se/?id1=0682,200
https://kommunsiffror.scb.se/?id1=1007,ERROR
https://kommunsiffror.scb.se/?id1=0767,200
https://kommunsiffror.scb.se/?id1=0312,200
https://kommunsiffror.scb.se/?id1=2418,ERROR
https://kommunsiffror.scb.se/?id1=2580,ERROR
https://kommunsiffror.scb.se/?id1=2208,ERROR
https://kommunsiffror.scb.se/?id1=1060,200
https://kommunsiffror.scb.se/?id1=2401,ERROR
https://kommunsiffror.scb.se/?id1=0288,ERROR
https://kommunsiffror.scb.se/?id1=0581,ERROR
https://kommunsiffror.scb.se/?id1=2034,ERROR
https://kommunsiffror.scb.se/?id1=2132,ERROR
https://kommunsiffror.scb.se/?id1=1273,ERROR
https://kommunsiffror.scb.se/?id1=2033,ERROR
https://kommunsiffror.scb.se/?id1=1884,200
https://kommunsiffror.scb.se/?id1=0642,200
https://kommunsiffror.scb.se/?id1=2062,200
https://kommunsiffror.scb.se/?id1=0140,ERROR
https://kommunsiffror.scb.se/?id1=0188,200
https://kommunsiffror.scb.se/?id1=0881,ERROR
https://kommunsiffror.scb.se/?id1=2101,ERROR
https://kommunsiffror.scb.se/?id1=1165,ERROR
https://kommunsiffror.scb.se/?id1=0205,ERROR
https://kommunsiffror.scb.se/?id1=1275,ERROR
https://kommunsiffror.scb.se/?id1=0480,ERROR
https://kommunsiffror.scb.se/?id1=0708,ERROR
https://kommunsiffror.scb.se/?id1=0637,ERROR
https://kommunsiffror.scb.se/?id1=2318,ERROR
https://kommunsiffror.scb.se/?id1=1421,ERROR
https://kommunsiffror.scb.se/?id1=1163,ERROR
https://kommunsiffror.scb.se/?id1=0182,200
https://kommunsiffror.scb.se/?id1=0731,200
https://kommunsiffror.scb.se/?id1=0882,200
https://kommunsiffror.scb.se/?id1=1481,200
https://kommunsiffror.scb.se/?id1=2228,200
https://kommunsiffror.scb.se/?id1=0481,ERROR
https://kommunsiffror.scb.se/?id1=2121,200
https://kommunsiffror.scb.se/?id1=1122,200
https://kommunsiffror.scb.se/?id1=2521,ERROR
https://kommunsiffror.scb.se/?id1=2127,ERROR
https://kommunsiffror.scb.se/?id1=1962,ERROR
https://kommunsiffror.scb.se/?id1=1616,ERROR
https://kommunsiffror.scb.se/?id1=0105,ERROR
https://kommunsiffror.scb.se/?id1=2581,ERROR
https://kommunsiffror.scb.se/?id1=2120,200
https://kommunsiffror.scb.se/?id1=1402,ERROR
https://kommunsiffror.scb.se/?id1=1241,ERROR
https://kommunsiffror.scb.se/?id1=0825,ERROR
https://kommunsiffror.scb.se/?id1=0508,ERROR
https://kommunsiffror.scb.se/?id1=2417,200
https://kommunsiffror.scb.se/?id1=2232,ERROR
https://kommunsiffror.scb.se/?id1=0614,ERROR
https://kommunsiffror.scb.se/?id1=1522,ERROR
https://kommunsiffror.scb.se/?id1=2209,ERROR
https://kommunsiffror.scb.se/?id1=0618,ERROR
https://kommunsiffror.scb.se/?id1=0424,ERROR
https://kommunsiffror.scb.se/?id1=2207,200
https://kommunsiffror.scb.se/?id1=2028,ERROR
https://kommunsiffror.scb.se/?id1=0730,ERROR
https://kommunsiffror.scb.se/?id1=1632,ERROR
https://kommunsiffror.scb.se/?id1=0505,ERROR
https://kommunsiffror.scb.se/?id1=0517,ERROR
https://kommunsiffror.scb.se/?id1=1805,ERROR
https://kommunsiffror.scb.se/?id1=1015,200
https://kommunsiffror.scb.se/?id1=0639,200
https://kommunsiffror.scb.se/?id1=1405,200
https://kommunsiffror.scb.se/?id1=1141,200
https://kommunsiffror.scb.se/?id1=0516,ERROR
https://kommunsiffror.scb.se/?id1=0534,200
https://kommunsiffror.scb.se/?id1=1548,ERROR
https://kommunsiffror.scb.se/?id1=1229,ERROR
https://kommunsiffror.scb.se/?id1=2235,200
https://kommunsiffror.scb.se/?id1=0209,ERROR
https://kommunsiffror.scb.se/?id1=1246,200
https://kommunsiffror.scb.se/?id1=0664,ERROR
https://kommunsiffror.scb.se/?id1=0666,ERROR
https://kommunsiffror.scb.se/?id1=0122,ERROR
https://kommunsiffror.scb.se/?id1=1238,ERROR
https://kommunsiffror.scb.se/?id1=1207,ERROR
https://kommunsiffror.scb.se/?id1=2119,ERROR
https://kommunsiffror.scb.se/?id1=0718,ERROR
https://kommunsiffror.scb.se/?id1=1249,ERROR
https://kommunsiffror.scb.se/?id1=1803,200
https://kommunsiffror.scb.se/?id1=1536,ERROR
https://kommunsiffror.scb.se/?id1=1516,200
https://kommunsiffror.scb.se/?id1=2129,ERROR
https://kommunsiffror.scb.se/?id1=2202,200
https://kommunsiffror.scb.se/?id1=0703,200
