orgnr,wikidata_item,wikidata_label
2120001835,http://www.wikidata.org/entity/Q2777887,Årjängs kommun
2120001843,http://www.wikidata.org/entity/Q501205,Sunne kommun
2120001850,http://www.wikidata.org/entity/Q498453,Karlstads kommun
2120001868,http://www.wikidata.org/entity/Q510364,Kristinehamns kommun
2120001876,http://www.wikidata.org/entity/Q503204,Filipstads kommun
2120001884,http://www.wikidata.org/entity/Q511407,Hagfors kommun
2120001892,http://www.wikidata.org/entity/Q511365,Arvika kommun
2120001900,http://www.wikidata.org/entity/Q511326,Säffle kommun
2120001918,http://www.wikidata.org/entity/Q515326,Laxå kommun
2120001926,http://www.wikidata.org/entity/Q508180,Hallsbergs kommun
2120001934,http://www.wikidata.org/entity/Q509469,Degerfors kommun
2120001942,http://www.wikidata.org/entity/Q220881,Hällefors kommun
2120001959,http://www.wikidata.org/entity/Q514739,Ljusnarsbergs kommun
2120001967,http://www.wikidata.org/entity/Q297718,Örebro kommun
2120001975,http://www.wikidata.org/entity/Q504988,Kumla kommun
2120001983,http://www.wikidata.org/entity/Q509501,Askersunds kommun
2120001991,http://www.wikidata.org/entity/Q509634,Karlskoga kommun
2120002007,http://www.wikidata.org/entity/Q285894,Nora kommun
2120002015,http://www.wikidata.org/entity/Q514858,Lindesbergs kommun
2120002023,http://www.wikidata.org/entity/Q37462,Skinnskattebergs kommun
2120002031,http://www.wikidata.org/entity/Q34078,Surahammars kommun
2120002049,http://www.wikidata.org/entity/Q516308,Heby kommun
2120002056,http://www.wikidata.org/entity/Q47169,Kungsörs kommun
2120002064,http://www.wikidata.org/entity/Q47019,Hallstahammars kommun
2120002072,http://www.wikidata.org/entity/Q37404,Norbergs kommun
2120002080,http://www.wikidata.org/entity/Q34550,Västerås kommun
2120002098,http://www.wikidata.org/entity/Q37399,Sala kommun
2120002106,http://www.wikidata.org/entity/Q47018,Fagersta kommun
2120002114,http://www.wikidata.org/entity/Q42009,Köpings kommun
2120002122,http://www.wikidata.org/entity/Q431271,Arboga kommun
